,Team,Logo
0,Arsenal,https://resources.premierleague.com/premierleague/badges/100/t3.png
1,Aston Villa,https://resources.premierleague.com/premierleague/badges/100/t7.png
2,Bournemouth,https://resources.premierleague.com/premierleague/badges/100/t91.png
3,Brighton,https://resources.premierleague.com/premierleague/badges/100/t94.png
4,Burnley,https://resources.premierleague.com/premierleague/badges/100/t36.png
5,Chelsea,https://resources.premierleague.com/premierleague/badges/100/t90.png
6,Crystal Palace,https://resources.premierleague.com/premierleague/badges/100/t8.png
7,Everton,https://resources.premierleague.com/premierleague/badges/100/t31.png
8,Leicester,https://resources.premierleague.com/premierleague/badges/100/t11.png
9,Liverpool,https://resources.premierleague.com/premierleague/badges/100/t54.png
10,Man City,https://resources.premierleague.com/premierleague/badges/100/t14.png
11,Man United,https://resources.premierleague.com/premierleague/badges/100/t102.png
12,Newcastle,https://resources.premierleague.com/premierleague/badges/100/t43.png
13,Norwich,https://resources.premierleague.com/premierleague/badges/100/t1.png
14,Sheffield United,https://resources.premierleague.com/premierleague/badges/100/t4.png
15,Southampton,https://resources.premierleague.com/premierleague/badges/100/t17.png
16,Tottenham,https://resources.premierleague.com/premierleague/badges/100/t49.png
17,Watford,https://resources.premierleague.com/premierleague/badges/100/t6.png
18,West Ham,https://resources.premierleague.com/premierleague/badges/100/t21.png
19,Wolves,https://resources.premierleague.com/premierleague/badges/100/t39.png
